"","Pasos","Dimension","Valor M","Origen"
"V18113","80","2",13,0
"V18211","80","2",20,2
"V1839","80","2",17,1
"V1849","80","2",8,0
"V1859","80","2",8,3
"V1869","80","2",14,2
"V1879","80","2",17,0
"V1889","80","2",13,0
"V1899","80","2",22,1
"V1909","80","2",11,1
"V19113","80","2",14,0
"V19211","80","2",18,0
"V1939","80","2",16,1
"V1949","80","2",8,0
"V1959","80","2",8,1
"V1969","80","2",12,0
"V1979","80","2",7,5
"V1989","80","2",10,0
"V1999","80","2",12,0
"V2009","80","2",8,4
"V20113","80","2",11,1
"V20211","80","2",12,0
"V2039","80","2",8,0
"V2049","80","2",14,0
"V2059","80","2",7,0
"V2069","80","2",20,1
"V2079","80","2",12,0
"V2089","80","2",19,0
"V2099","80","2",23,0
"V21013","80","2",19,0
"V21113","80","2",12,0
"V21212","80","2",12,2
"V21310","80","2",9,1
"V21410","80","2",16,1
"V2159","80","2",13,0
"V2169","80","2",12,0
"V2179","80","2",6,1
"V2189","80","2",9,1
"V2199","80","2",12,1
"V2209","80","2",18,3
"V22113","80","2",9,0
"V22211","80","2",14,0
"V2239","80","2",14,0
"V2249","80","2",22,2
"V2259","80","2",11,0
"V2269","80","2",14,0
"V2279","80","2",14,1
"V2289","80","2",22,1
"V2299","80","2",13,0
"V2309","80","2",7,0
"V23113","80","2",27,0
"V23211","80","2",16,2
"V2339","80","2",16,0
"V2349","80","2",13,1
"V2359","80","2",9,1
"V2369","80","2",7,2
"V2379","80","2",22,1
"V2389","80","2",8,3
"V2399","80","2",11,0
"V2409","80","2",21,0
"V24113","80","2",13,3
"V24211","80","2",15,3
"V2439","80","2",18,0
"V2449","80","2",10,0
"V2459","80","2",13,3
"V2469","80","2",11,2
"V2479","80","2",16,2
"V2489","80","2",13,0
"V2499","80","2",11,1
"V2509","80","2",12,4
"V25113","80","2",15,0
"V25211","80","2",10,3
"V2539","80","2",12,0
"V2549","80","2",7,0
"V2559","80","2",16,1
"V2569","80","2",14,1
"V2579","80","2",14,1
"V2589","80","2",15,1
"V2599","80","2",16,1
"V2609","80","2",9,0
"V26113","80","2",11,1
"V26211","80","2",12,1
"V2639","80","2",15,2
"V2649","80","2",10,3
"V2659","80","2",8,1
"V2669","80","2",5,4
"V2679","80","2",16,0
"V2689","80","2",11,0
"V2699","80","2",10,2
"V2709","80","2",9,2
"V27113","80","2",14,0
"V27211","80","2",10,2
"V2739","80","2",12,0
"V2749","80","2",22,1
"V2759","80","2",9,0
"V2769","80","2",13,0
"V2779","80","2",16,0
"V2789","80","2",13,1
"V2799","80","2",13,0
"V2809","80","2",8,1
"V28113","80","2",21,0
"V28211","80","2",9,1
"V2839","80","2",16,6
"V2849","80","2",12,0
"V2859","80","2",10,0
"V2869","80","2",18,0
"V2879","80","2",12,0
"V2889","80","2",8,1
"V2899","80","2",17,0
"V2909","80","2",10,2
"V29113","80","2",11,0
"V29211","80","2",15,0
"V2939","80","2",15,2
"V2949","80","2",16,0
"V2959","80","2",7,1
"V2969","80","2",21,0
"V2979","80","2",12,2
"V2989","80","2",9,3
"V2999","80","2",12,0
"V3009","80","2",14,3
"V1150","80","3",22,0
"V2150","80","3",32,0
"V340","80","3",14,0
"V440","80","3",26,0
"V540","80","3",30,0
"V640","80","3",21,1
"V740","80","3",20,0
"V840","80","3",11,1
"V940","80","3",14,0
"V1040","80","3",22,0
"V1160","80","3",20,0
"V1240","80","3",13,0
"V1340","80","3",12,0
"V1440","80","3",18,0
"V1540","80","3",17,0
"V1640","80","3",9,1
"V1740","80","3",16,0
"V1840","80","3",14,2
"V1940","80","3",10,3
"V2040","80","3",24,1
"V2160","80","3",18,0
"V2240","80","3",12,0
"V2340","80","3",11,0
"V2440","80","3",14,0
"V2540","80","3",8,0
"V2640","80","3",15,1
"V2740","80","3",18,0
"V2840","80","3",14,0
"V2940","80","3",17,1
"V3010","80","3",9,0
"V3114","80","3",11,1
"V3212","80","3",8,2
"V3310","80","3",16,0
"V3410","80","3",17,0
"V3510","80","3",11,1
"V3610","80","3",12,0
"V3710","80","3",12,0
"V3810","80","3",11,0
"V3910","80","3",12,0
"V4010","80","3",19,1
"V4114","80","3",17,0
"V4212","80","3",16,1
"V4310","80","3",16,0
"V4410","80","3",11,0
"V4510","80","3",10,0
"V4610","80","3",11,0
"V4710","80","3",22,0
"V4810","80","3",20,1
"V4910","80","3",11,1
"V5010","80","3",23,0
"V5114","80","3",13,0
"V5212","80","3",8,0
"V5310","80","3",13,2
"V5410","80","3",11,1
"V5510","80","3",17,0
"V5610","80","3",14,0
"V5710","80","3",9,0
"V5810","80","3",16,3
"V5910","80","3",11,2
"V6010","80","3",24,0
"V6114","80","3",10,0
"V6212","80","3",13,0
"V6310","80","3",15,0
"V6410","80","3",14,0
"V6510","80","3",13,0
"V6610","80","3",11,1
"V6710","80","3",18,0
"V6810","80","3",15,0
"V6910","80","3",21,0
"V7010","80","3",13,1
"V7114","80","3",14,1
"V7212","80","3",8,0
"V7310","80","3",10,0
"V7410","80","3",22,1
"V7510","80","3",12,0
"V7610","80","3",16,0
"V7710","80","3",15,0
"V7810","80","3",18,0
"V7910","80","3",9,0
"V8010","80","3",21,0
"V8114","80","3",16,0
"V8212","80","3",11,0
"V8310","80","3",14,0
"V8410","80","3",26,0
"V8510","80","3",11,1
"V8610","80","3",16,1
"V8710","80","3",11,0
"V8810","80","3",14,0
"V8910","80","3",9,2
"V9010","80","3",13,0
"V9114","80","3",9,0
"V9212","80","3",22,0
"V9310","80","3",17,1
"V9410","80","3",16,2
"V9510","80","3",20,1
"V9610","80","3",9,0
"V9710","80","3",18,0
"V9810","80","3",6,0
"V9910","80","3",8,0
"V10010","80","3",17,1
"V10114","80","3",12,1
"V10212","80","3",16,0
"V10310","80","3",13,0
"V10410","80","3",23,0
"V10510","80","3",13,0
"V10610","80","3",12,0
"V10710","80","3",12,0
"V10810","80","3",17,1
"V10910","80","3",16,0
"V11014","80","3",20,1
"V11114","80","3",14,0
"V11213","80","3",12,0
"V11311","80","3",13,1
"V11411","80","3",10,0
"V11510","80","3",14,0
"V11610","80","3",28,0
"V11710","80","3",18,0
"V11810","80","3",21,0
"V11910","80","3",18,0
"V12010","80","3",24,0
"V12114","80","3",19,0
"V12212","80","3",16,0
"V12310","80","3",13,0
"V12410","80","3",13,3
"V12510","80","3",13,0
"V12610","80","3",15,0
"V12710","80","3",14,0
"V12810","80","3",27,0
"V12910","80","3",12,0
"V13010","80","3",9,0
"V13114","80","3",13,3
"V13212","80","3",12,0
"V13310","80","3",16,0
"V13410","80","3",9,0
"V13510","80","3",12,0
"V13610","80","3",14,0
"V13710","80","3",15,1
"V13810","80","3",12,0
"V13910","80","3",11,1
"V14010","80","3",18,0
"V14114","80","3",20,0
"V14212","80","3",19,0
"V14310","80","3",13,0
"V14410","80","3",19,0
"V14510","80","3",21,0
"V14610","80","3",26,0
"V14710","80","3",14,0
"V14810","80","3",22,1
"V14910","80","3",16,1
"V15010","80","3",9,0
"V15114","80","3",15,0
"V15212","80","3",17,0
"V15310","80","3",10,0
"V15410","80","3",15,1
"V15510","80","3",18,0
"V15610","80","3",15,0
"V15710","80","3",14,0
"V15810","80","3",16,0
"V15910","80","3",12,0
"V16010","80","3",18,0
"V16114","80","3",20,0
"V16212","80","3",9,2
"V16310","80","3",14,0
"V16410","80","3",23,0
"V16510","80","3",13,0
"V16610","80","3",13,0
"V16710","80","3",18,0
"V16810","80","3",12,1
"V16910","80","3",17,0
"V17010","80","3",12,0
"V17114","80","3",16,0
"V17212","80","3",17,0
"V17310","80","3",24,0
"V17410","80","3",22,0
"V17510","80","3",16,0
"V17610","80","3",10,0
"V17710","80","3",18,0
"V17810","80","3",22,0
"V17910","80","3",7,0
"V18010","80","3",11,0
"V18114","80","3",10,1
"V18212","80","3",12,0
"V18310","80","3",15,0
"V18410","80","3",13,0
"V18510","80","3",8,1
"V18610","80","3",12,1
"V18710","80","3",11,0
"V18810","80","3",11,0
"V18910","80","3",19,1
"V19010","80","3",16,0
"V19114","80","3",12,0
"V19212","80","3",21,2
"V19310","80","3",22,0
"V19410","80","3",7,3
"V19510","80","3",18,0
"V19610","80","3",12,0
"V19710","80","3",15,1
"V19810","80","3",22,0
"V19910","80","3",21,1
"V20010","80","3",9,0
"V20114","80","3",12,0
"V20212","80","3",20,0
"V20310","80","3",24,0
"V20410","80","3",12,2
"V20510","80","3",17,0
"V20610","80","3",17,0
"V20710","80","3",16,0
"V20810","80","3",13,0
"V20910","80","3",17,0
"V21014","80","3",12,0
"V21114","80","3",13,0
"V21213","80","3",26,0
"V21311","80","3",19,0
"V21411","80","3",11,0
"V21510","80","3",16,1
"V21610","80","3",17,0
"V21710","80","3",11,1
"V21810","80","3",13,0
"V21910","80","3",19,2
"V22010","80","3",16,0
"V22114","80","3",20,0
"V22212","80","3",14,0
"V22310","80","3",11,0
"V22410","80","3",16,1
"V22510","80","3",16,0
"V22610","80","3",16,1
"V22710","80","3",13,0
"V22810","80","3",14,2
"V22910","80","3",21,0
"V23010","80","3",19,0
"V23114","80","3",11,1
"V23212","80","3",24,1
"V23310","80","3",19,2
"V23410","80","3",12,0
"V23510","80","3",12,0
"V23610","80","3",14,1
"V23710","80","3",19,0
"V23810","80","3",13,0
"V23910","80","3",16,0
"V24010","80","3",13,1
"V24114","80","3",10,2
"V24212","80","3",20,1
"V24310","80","3",16,1
"V24410","80","3",13,0
"V24510","80","3",14,0
"V24610","80","3",21,0
"V24710","80","3",9,0
"V24810","80","3",11,2
"V24910","80","3",12,1
"V25010","80","3",12,0
"V25114","80","3",12,1
"V25212","80","3",15,1
"V25310","80","3",16,0
"V25410","80","3",12,2
"V25510","80","3",15,0
"V25610","80","3",8,0
"V25710","80","3",19,0
"V25810","80","3",8,1
"V25910","80","3",13,0
"V26010","80","3",24,0
"V26114","80","3",7,0
"V26212","80","3",11,0
"V26310","80","3",9,0
"V26410","80","3",15,0
"V26510","80","3",27,0
"V26610","80","3",19,0
"V26710","80","3",18,0
"V26810","80","3",15,0
"V26910","80","3",10,0
"V27010","80","3",16,1
"V27114","80","3",12,1
"V27212","80","3",16,1
"V27310","80","3",15,0
"V27410","80","3",21,1
"V27510","80","3",18,0
"V27610","80","3",16,0
"V27710","80","3",9,1
"V27810","80","3",16,0
"V27910","80","3",20,0
"V28010","80","3",17,0
"V28114","80","3",18,1
"V28212","80","3",15,0
"V28310","80","3",25,0
"V28410","80","3",20,1
"V28510","80","3",16,0
"V28610","80","3",16,0
"V28710","80","3",10,1
"V28810","80","3",25,0
"V28910","80","3",10,0
"V29010","80","3",17,1
"V29114","80","3",14,0
"V29212","80","3",11,0
"V29310","80","3",17,0
"V29410","80","3",23,0
"V29510","80","3",14,0
"V29610","80","3",17,1
"V29710","80","3",9,0
"V29810","80","3",18,1
"V29910","80","3",14,0
"V30010","80","3",11,2
"V1170","80","4",9,0
"V2170","80","4",17,0
"V350","80","4",28,0
"V450","80","4",16,0
"V550","80","4",20,0
"V650","80","4",10,0
"V750","80","4",18,0
"V850","80","4",14,0
"V950","80","4",15,0
"V1050","80","4",22,1
"V1180","80","4",20,0
"V1250","80","4",15,0
"V1350","80","4",17,0
"V1450","80","4",18,0
"V1550","80","4",18,0
"V1650","80","4",24,0
"V1750","80","4",19,0
"V1850","80","4",17,0
"V1950","80","4",19,1
"V2050","80","4",17,0
"V2180","80","4",10,0
"V2250","80","4",28,0
"V2350","80","4",13,0
"V2450","80","4",16,0
"V2550","80","4",18,0
"V2650","80","4",16,0
"V2750","80","4",13,0
"V2850","80","4",18,0
"V2950","80","4",16,1
"V3011","80","4",11,1
"V3115","80","4",10,0
"V3213","80","4",20,0
"V3311","80","4",20,0
"V3411","80","4",15,0
"V3511","80","4",14,0
"V3611","80","4",16,0
"V3711","80","4",18,0
"V3811","80","4",16,1
"V3911","80","4",12,0
"V4011","80","4",24,0
"V4115","80","4",18,0
"V4213","80","4",16,0
"V4311","80","4",19,0
"V4411","80","4",16,2
"V4511","80","4",10,0
"V4611","80","4",12,2
"V4711","80","4",22,0
"V4811","80","4",11,0
"V4911","80","4",12,0
"V5011","80","4",17,0
"V5115","80","4",15,0
"V5213","80","4",17,0
"V5311","80","4",22,0
"V5411","80","4",14,0
"V5511","80","4",16,0
"V5611","80","4",13,0
"V5711","80","4",19,0
"V5811","80","4",19,0
"V5911","80","4",12,0
"V6011","80","4",10,0
"V6115","80","4",14,1
"V6213","80","4",11,1
"V6311","80","4",15,1
"V6411","80","4",14,0
"V6511","80","4",17,0
"V6611","80","4",19,0
"V6711","80","4",32,0
"V6811","80","4",20,0
"V6911","80","4",14,0
"V7011","80","4",19,0
"V7115","80","4",12,0
"V7213","80","4",17,0
"V7311","80","4",23,0
"V7411","80","4",17,0
"V7511","80","4",14,0
"V7611","80","4",12,0
"V7711","80","4",12,0
"V7811","80","4",21,0
"V7911","80","4",20,0
"V8011","80","4",14,0
"V8115","80","4",24,0
"V8213","80","4",11,0
"V8311","80","4",19,0
"V8411","80","4",22,0
"V8511","80","4",20,0
"V8611","80","4",13,0
"V8711","80","4",22,0
"V8811","80","4",15,0
"V8911","80","4",14,1
"V9011","80","4",18,0
"V9115","80","4",21,0
"V9213","80","4",20,0
"V9311","80","4",24,0
"V9411","80","4",20,0
"V9511","80","4",16,0
"V9611","80","4",16,1
"V9711","80","4",20,0
"V9811","80","4",18,0
"V9911","80","4",21,0
"V10011","80","4",13,0
"V10115","80","4",14,0
"V10213","80","4",17,0
"V10311","80","4",28,0
"V10411","80","4",18,0
"V10511","80","4",19,0
"V10611","80","4",14,0
"V10711","80","4",17,0
"V10811","80","4",20,0
"V10911","80","4",17,0
"V11015","80","4",13,0
"V11115","80","4",10,0
"V11214","80","4",20,0
"V11312","80","4",24,0
"V11412","80","4",15,0
"V11511","80","4",22,1
"V11611","80","4",13,0
"V11711","80","4",11,0
"V11811","80","4",17,0
"V11911","80","4",17,0
"V12011","80","4",13,0
"V12115","80","4",11,0
"V12213","80","4",14,1
"V12311","80","4",25,0
"V12411","80","4",22,0
"V12511","80","4",22,0
"V12611","80","4",15,0
"V12711","80","4",22,0
"V12811","80","4",12,0
"V12911","80","4",23,0
"V13011","80","4",20,0
"V13115","80","4",20,0
"V13213","80","4",18,0
"V13311","80","4",18,0
"V13411","80","4",10,0
"V13511","80","4",15,0
"V13611","80","4",20,0
"V13711","80","4",28,0
"V13811","80","4",10,0
"V13911","80","4",21,0
"V14011","80","4",24,1
"V14115","80","4",23,0
"V14213","80","4",19,0
"V14311","80","4",18,0
"V14411","80","4",13,0
"V14511","80","4",16,0
"V14611","80","4",14,0
"V14711","80","4",16,0
"V14811","80","4",30,0
"V14911","80","4",19,0
"V15011","80","4",15,0
"V15115","80","4",17,1
"V15213","80","4",16,0
"V15311","80","4",13,0
"V15411","80","4",11,0
"V15511","80","4",15,0
"V15611","80","4",12,0
"V15711","80","4",21,0
"V15811","80","4",21,1
"V15911","80","4",19,0
"V16011","80","4",24,0
"V16115","80","4",20,0
"V16213","80","4",18,1
"V16311","80","4",11,0
"V16411","80","4",13,0
"V16511","80","4",16,0
"V16611","80","4",17,0
"V16711","80","4",19,0
"V16811","80","4",15,1
"V16911","80","4",19,0
"V17011","80","4",15,0
"V17115","80","4",12,0
"V17213","80","4",14,0
"V17311","80","4",11,1
"V17411","80","4",18,0
"V17511","80","4",10,0
"V17611","80","4",16,0
"V17711","80","4",16,0
"V17811","80","4",25,0
"V17911","80","4",27,0
"V18011","80","4",15,0
"V18115","80","4",9,0
"V18213","80","4",16,0
"V18311","80","4",13,0
"V18411","80","4",28,0
"V18511","80","4",15,0
"V18611","80","4",20,0
"V18711","80","4",13,0
"V18811","80","4",17,0
"V18911","80","4",23,0
"V19011","80","4",25,0
"V19115","80","4",21,1
"V19213","80","4",13,0
"V19311","80","4",17,1
"V19411","80","4",15,0
"V19511","80","4",16,2
"V19611","80","4",20,0
"V19711","80","4",21,0
"V19811","80","4",17,0
"V19911","80","4",23,0
"V20011","80","4",13,0
"V20115","80","4",15,0
"V20213","80","4",13,1
"V20311","80","4",13,0
"V20411","80","4",27,0
"V20511","80","4",15,0
"V20611","80","4",10,0
"V20711","80","4",11,0
"V20811","80","4",13,0
"V20911","80","4",18,0
"V21015","80","4",17,0
"V21115","80","4",18,0
"V21214","80","4",18,0
"V21312","80","4",13,0
"V21412","80","4",10,0
"V21511","80","4",16,1
"V21611","80","4",21,0
"V21711","80","4",19,0
"V21811","80","4",29,0
"V21911","80","4",20,0
"V22011","80","4",16,0
"V22115","80","4",14,0
"V22213","80","4",9,1
"V22311","80","4",17,0
"V22411","80","4",22,0
"V22511","80","4",17,0
"V22611","80","4",17,0
"V22711","80","4",13,0
"V22811","80","4",11,0
"V22911","80","4",16,0
"V23011","80","4",25,0
"V23115","80","4",10,1
"V23213","80","4",12,0
"V23311","80","4",14,2
"V23411","80","4",14,0
"V23511","80","4",20,1
"V23611","80","4",15,0
"V23711","80","4",15,0
"V23811","80","4",8,1
"V23911","80","4",17,0
"V24011","80","4",18,2
"V24115","80","4",20,0
"V24213","80","4",16,0
"V24311","80","4",24,0
"V24411","80","4",12,0
"V24511","80","4",23,0
"V24611","80","4",28,0
"V24711","80","4",12,0
"V24811","80","4",18,0
"V24911","80","4",17,0
"V25011","80","4",14,0
"V25115","80","4",29,0
"V25213","80","4",20,0
"V25311","80","4",17,0
"V25411","80","4",15,0
"V25511","80","4",15,0
"V25611","80","4",15,0
"V25711","80","4",15,0
"V25811","80","4",13,0
"V25911","80","4",17,0
"V26011","80","4",16,0
"V26115","80","4",30,0
"V26213","80","4",18,0
"V26311","80","4",18,1
"V26411","80","4",10,1
"V26511","80","4",16,0
"V26611","80","4",22,0
"V26711","80","4",21,1
"V26811","80","4",21,0
"V26911","80","4",12,0
"V27011","80","4",12,0
"V27115","80","4",12,0
"V27213","80","4",15,0
"V27311","80","4",18,0
"V27411","80","4",26,0
"V27511","80","4",11,0
"V27611","80","4",19,0
"V27711","80","4",18,1
"V27811","80","4",21,1
"V27911","80","4",14,0
"V28011","80","4",10,0
"V28115","80","4",16,0
"V28213","80","4",22,0
"V28311","80","4",20,0
"V28411","80","4",20,0
"V28511","80","4",16,0
"V28611","80","4",22,0
"V28711","80","4",11,1
"V28811","80","4",14,0
"V28911","80","4",13,0
"V29011","80","4",16,0
"V29115","80","4",16,0
"V29213","80","4",26,0
"V29311","80","4",12,0
"V29411","80","4",17,0
"V29511","80","4",18,0
"V29611","80","4",20,0
"V29711","80","4",14,0
"V29811","80","4",14,0
"V29911","80","4",12,1
"V30011","80","4",15,0
"V1190","80","5",26,0
"V2190","80","5",19,0
"V360","80","5",18,0
"V460","80","5",20,0
"V560","80","5",19,0
"V660","80","5",14,0
"V760","80","5",18,0
"V860","80","5",15,0
"V960","80","5",24,0
"V1060","80","5",10,0
"V11100","80","5",22,0
"V1260","80","5",13,0
"V1360","80","5",11,0
"V1460","80","5",23,0
"V1560","80","5",21,0
"V1660","80","5",16,0
"V1760","80","5",19,0
"V1860","80","5",23,0
"V1960","80","5",10,0
"V2060","80","5",26,0
"V21100","80","5",20,0
"V2260","80","5",21,1
"V2360","80","5",16,1
"V2460","80","5",17,0
"V2560","80","5",13,0
"V2660","80","5",13,0
"V2760","80","5",18,0
"V2860","80","5",18,0
"V2960","80","5",19,0
"V3012","80","5",17,0
"V3116","80","5",20,0
"V3214","80","5",23,0
"V3312","80","5",22,0
"V3412","80","5",8,0
"V3512","80","5",20,0
"V3612","80","5",28,0
"V3712","80","5",18,1
"V3812","80","5",19,0
"V3912","80","5",22,0
"V4012","80","5",20,0
"V4116","80","5",22,0
"V4214","80","5",24,0
"V4312","80","5",24,0
"V4412","80","5",23,0
"V4512","80","5",18,0
"V4612","80","5",31,0
"V4712","80","5",15,0
"V4812","80","5",17,0
"V4912","80","5",16,0
"V5012","80","5",12,0
"V5116","80","5",15,0
"V5214","80","5",18,0
"V5312","80","5",31,1
"V5412","80","5",20,0
"V5512","80","5",24,0
"V5612","80","5",18,0
"V5712","80","5",17,0
"V5812","80","5",20,0
"V5912","80","5",11,0
"V6012","80","5",21,0
"V6116","80","5",20,0
"V6214","80","5",29,0
"V6312","80","5",18,0
"V6412","80","5",22,0
"V6512","80","5",24,0
"V6612","80","5",17,0
"V6712","80","5",29,0
"V6812","80","5",18,0
"V6912","80","5",22,0
"V7012","80","5",13,0
"V7116","80","5",14,0
"V7214","80","5",16,0
"V7312","80","5",20,0
"V7412","80","5",22,0
"V7512","80","5",20,0
"V7612","80","5",25,0
"V7712","80","5",20,0
"V7812","80","5",19,0
"V7912","80","5",13,0
"V8012","80","5",16,0
"V8116","80","5",23,0
"V8214","80","5",10,0
"V8312","80","5",12,0
"V8412","80","5",19,0
"V8512","80","5",20,0
"V8612","80","5",22,1
"V8712","80","5",15,0
"V8812","80","5",22,0
"V8912","80","5",10,1
"V9012","80","5",22,1
"V9116","80","5",15,0
"V9214","80","5",26,1
"V9312","80","5",17,0
"V9412","80","5",25,0
"V9512","80","5",23,0
"V9612","80","5",14,0
"V9712","80","5",28,0
"V9812","80","5",21,0
"V9912","80","5",18,0
"V10012","80","5",22,0
"V10116","80","5",13,0
"V10214","80","5",10,0
"V10312","80","5",18,0
"V10412","80","5",27,0
"V10512","80","5",14,0
"V10612","80","5",22,1
"V10712","80","5",16,0
"V10812","80","5",15,0
"V10912","80","5",24,0
"V11016","80","5",16,0
"V11116","80","5",15,0
"V11215","80","5",30,0
"V11313","80","5",21,0
"V11413","80","5",20,0
"V11512","80","5",15,0
"V11612","80","5",25,0
"V11712","80","5",12,0
"V11812","80","5",9,1
"V11912","80","5",23,0
"V12012","80","5",25,0
"V12116","80","5",18,0
"V12214","80","5",25,0
"V12312","80","5",15,0
"V12412","80","5",10,0
"V12512","80","5",18,0
"V12612","80","5",26,0
"V12712","80","5",15,0
"V12812","80","5",24,0
"V12912","80","5",14,0
"V13012","80","5",16,0
"V13116","80","5",20,0
"V13214","80","5",26,0
"V13312","80","5",24,0
"V13412","80","5",15,0
"V13512","80","5",13,1
"V13612","80","5",16,0
"V13712","80","5",21,0
"V13812","80","5",14,0
"V13912","80","5",13,0
"V14012","80","5",14,0
"V14116","80","5",20,0
"V14214","80","5",13,0
"V14312","80","5",17,0
"V14412","80","5",16,0
"V14512","80","5",30,0
"V14612","80","5",12,0
"V14712","80","5",15,0
"V14812","80","5",23,0
"V14912","80","5",20,0
"V15012","80","5",18,0
"V15116","80","5",23,0
"V15214","80","5",17,1
"V15312","80","5",19,1
"V15412","80","5",18,0
"V15512","80","5",21,0
"V15612","80","5",25,0
"V15712","80","5",15,0
"V15812","80","5",14,0
"V15912","80","5",22,0
"V16012","80","5",14,0
"V16116","80","5",20,0
"V16214","80","5",18,0
"V16312","80","5",16,1
"V16412","80","5",12,0
"V16512","80","5",14,0
"V16612","80","5",17,1
"V16712","80","5",15,0
"V16812","80","5",16,0
"V16912","80","5",30,0
"V17012","80","5",28,0
"V17116","80","5",21,0
"V17214","80","5",24,0
"V17312","80","5",24,0
"V17412","80","5",24,0
"V17512","80","5",12,0
"V17612","80","5",23,0
"V17712","80","5",26,0
"V17812","80","5",8,0
"V17912","80","5",14,0
"V18012","80","5",12,0
"V18116","80","5",20,0
"V18214","80","5",18,2
"V18312","80","5",20,0
"V18412","80","5",18,0
"V18512","80","5",14,0
"V18612","80","5",14,1
"V18712","80","5",20,0
"V18812","80","5",17,0
"V18912","80","5",20,0
"V19012","80","5",31,0
"V19116","80","5",18,1
"V19214","80","5",15,0
"V19312","80","5",15,1
"V19412","80","5",17,0
"V19512","80","5",22,0
"V19612","80","5",27,0
"V19712","80","5",10,0
"V19812","80","5",23,0
"V19912","80","5",16,0
"V20012","80","5",24,0
"V20116","80","5",16,0
"V20214","80","5",23,1
"V20312","80","5",24,0
"V20412","80","5",20,0
"V20512","80","5",14,1
"V20612","80","5",22,0
"V20712","80","5",11,0
"V20812","80","5",15,0
"V20912","80","5",13,0
"V21016","80","5",24,0
"V21116","80","5",12,0
"V21215","80","5",17,0
"V21313","80","5",24,0
"V21413","80","5",16,0
"V21512","80","5",17,0
"V21612","80","5",13,0
"V21712","80","5",11,1
"V21812","80","5",14,0
"V21912","80","5",23,0
"V22012","80","5",18,0
"V22116","80","5",18,0
"V22214","80","5",17,0
"V22312","80","5",19,0
"V22412","80","5",22,2
"V22512","80","5",16,0
"V22612","80","5",19,0
"V22712","80","5",12,0
"V22812","80","5",17,0
"V22912","80","5",10,0
"V23012","80","5",12,2
"V23116","80","5",21,0
"V23214","80","5",18,0
"V23312","80","5",22,0
"V23412","80","5",19,1
"V23512","80","5",15,0
"V23612","80","5",22,0
"V23712","80","5",23,1
"V23812","80","5",15,1
"V23912","80","5",18,1
"V24012","80","5",22,0
"V24116","80","5",22,0
"V24214","80","5",13,0
"V24312","80","5",12,0
"V24412","80","5",23,0
"V24512","80","5",14,0
"V24612","80","5",8,0
"V24712","80","5",24,0
"V24812","80","5",24,0
"V24912","80","5",18,0
"V25012","80","5",22,0
"V25116","80","5",25,0
"V25214","80","5",10,0
"V25312","80","5",17,0
"V25412","80","5",14,0
"V25512","80","5",17,0
"V25612","80","5",18,0
"V25712","80","5",28,0
"V25812","80","5",14,0
"V25912","80","5",14,0
"V26012","80","5",14,0
"V26116","80","5",17,1
"V26214","80","5",22,1
"V26312","80","5",14,1
"V26412","80","5",14,0
"V26512","80","5",18,0
"V26612","80","5",19,0
"V26712","80","5",34,0
"V26812","80","5",15,0
"V26912","80","5",8,1
"V27012","80","5",16,0
"V27116","80","5",21,0
"V27214","80","5",11,0
"V27312","80","5",18,0
"V27412","80","5",17,0
"V27512","80","5",25,0
"V27612","80","5",14,0
"V27712","80","5",23,0
"V27812","80","5",15,0
"V27912","80","5",15,0
"V28012","80","5",15,0
"V28116","80","5",14,0
"V28214","80","5",17,0
"V28312","80","5",17,0
"V28412","80","5",21,1
"V28512","80","5",11,0
"V28612","80","5",19,0
"V28712","80","5",25,1
"V28812","80","5",18,0
"V28912","80","5",17,0
"V29012","80","5",18,0
"V29116","80","5",19,0
"V29214","80","5",18,0
"V29312","80","5",15,0
"V29412","80","5",12,0
"V29512","80","5",20,0
"V29612","80","5",19,0
"V29712","80","5",13,0
"V29812","80","5",23,0
"V29912","80","5",28,0
"V30012","80","5",10,0
"V1200","80","6",22,0
"V2200","80","6",12,1
"V370","80","6",17,0
"V470","80","6",17,0
"V570","80","6",22,0
"V670","80","6",21,0
"V770","80","6",18,0
"V870","80","6",17,1
"V970","80","6",25,0
"V1070","80","6",16,0
"V11101","80","6",18,0
"V1270","80","6",13,0
"V1370","80","6",20,0
"V1470","80","6",19,1
"V1570","80","6",22,0
"V1670","80","6",24,0
"V1770","80","6",16,0
"V1870","80","6",12,0
"V1970","80","6",12,0
"V2070","80","6",18,0
"V21101","80","6",19,0
"V2270","80","6",18,0
"V2370","80","6",17,0
"V2470","80","6",22,0
"V2570","80","6",17,0
"V2670","80","6",17,0
"V2770","80","6",25,0
"V2870","80","6",28,0
"V2970","80","6",23,0
"V3013","80","6",32,0
"V3117","80","6",16,0
"V3215","80","6",18,0
"V3313","80","6",16,0
"V3413","80","6",22,1
"V3513","80","6",21,0
"V3613","80","6",22,0
"V3713","80","6",24,1
"V3813","80","6",23,0
"V3913","80","6",19,0
"V4013","80","6",26,0
"V4117","80","6",18,0
"V4215","80","6",12,0
"V4313","80","6",24,0
"V4413","80","6",19,0
"V4513","80","6",25,0
"V4613","80","6",21,0
"V4713","80","6",20,0
"V4813","80","6",14,0
"V4913","80","6",19,0
"V5013","80","6",18,1
"V5117","80","6",18,0
"V5215","80","6",18,0
"V5313","80","6",19,0
"V5413","80","6",24,0
"V5513","80","6",20,0
"V5613","80","6",20,0
"V5713","80","6",26,0
